"Coupon code","Kupon kód"
"Have you got a promotional code?","Van egy promóciós kódja?"
"Your promotional code","Az Ön promóciós kódja"
"Apply","Használja"
"Remove","Törlés"
"We have applied your code","Az Ön kedvezménykódja aktiválva lett"
"This code doesn’t look quite right. Please check and try again.","Ez a kód nem tűnik megfelelőnek.Kérjük, ellenőrizze és próbálja újra."
"Your coupon was successfully applied.","Az Ön kedvezménykódja aktiválva lett"
"Your coupon was successfully removed.","A kupont sikeresen eltávolítottuk."
